lengd,thyngd_est
40.0,0.7000000000000001
41.0,0.8
42.0,0.9
43.0,0.9
44.0,1.0
45.0,1.0
46.0,1.1
47.0,1.2
48.0,1.3
49.0,1.3
50.0,1.4000000000000001
51.0,1.5
52.0,1.6
53.0,1.7
54.0,1.8
55.0,1.8
56.0,1.9000000000000001
57.0,2.0
58.0,2.1
59.0,2.2
60.0,2.4
61.0,2.5
62.0,2.6
63.0,2.7
64.0,2.8000000000000003
65.0,3.0
66.0,3.1
67.0,3.2
68.0,3.4
69.0,3.5
70.0,3.6
71.0,3.8000000000000003
72.0,4.0
73.0,4.1
74.0,4.3
75.0,4.4
76.0,4.6000000000000005
77.0,4.8
78.0,5.0
79.0,5.1000000000000005
80.0,5.3
81.0,5.5
82.0,5.7
83.0,5.9
84.0,6.1000000000000005
85.0,6.3
86.0,6.5
87.0,6.7
88.0,7.0
89.0,7.2
90.0,7.4
91.0,7.7
92.0,7.9
93.0,8.1
94.0,8.4
95.0,8.700000000000001
96.0,8.9
97.0,9.200000000000001
98.0,9.4
99.0,9.700000000000001
100.0,10.0
101.0,10.3
102.0,10.6
103.0,10.9
104.0,11.200000000000001
105.0,11.5
106.0,11.8
107.0,12.1
108.0,12.4
109.0,12.8
110.0,13.1
111.0,13.4
112.0,13.8
113.0,14.1
114.0,14.5
